station_id,station_name_from_path,source_file,observed_hours,valid_ghi_hours,calendar_coverage_pct,ghi_uptime_pct,ghi_valid_when_observed_pct,station_latitude,station_longitude
19260,,__short__\19260\qc-version-1\19260_qcv-1_2024.csv,8736,8736,99.4535519125683,99.4535519125683,100.0,55.928,-3.344
00212,,__short__\00212\qc-version-1\00212_qcv-1_2024.csv,8735,8735,99.44216757741349,99.44216757741349,100.0,56.326,-3.729
00886,lyneham,wiltshire\00886_lyneham\qc-version-1\midas-open_uk-radiation-obs_dv-202607_wiltshire_00886_lyneham_qcv-1_2024.csv,8338,8338,94.92258652094718,94.92258652094718,100.0,51.503,-1.992
00054,stornoway-airport,western-isles\00054_stornoway-airport\qc-version-1\midas-open_uk-radiation-obs_dv-202607_western-isles_00054_stornoway-airport_qcv-1_2024.csv,8783,8783,99.98861566484517,99.98861566484517,100.0,58.213,-6.319
00534,bramham,west-yorkshire\00534_bramham\qc-version-1\midas-open_uk-radiation-obs_dv-202607_west-yorkshire_00534_bramham_qcv-1_2024.csv,8761,8761,99.73816029143897,99.73816029143897,100.0,53.869,-1.319
00779,thorney-island,west-sussex\00779_thorney-island\qc-version-1\midas-open_uk-radiation-obs_dv-202607_west-sussex_00779_thorney-island_qcv-1_2024.csv,8754,8754,99.6584699453552,99.6584699453552,100.0,50.815,-0.922
56424,winterbourne-no2,west-midlands\56424_winterbourne-no2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_west-midlands_56424_winterbourne-no2_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,52.456,-1.928
24102,coventry-coundon,west-midlands\24102_coventry-coundon\qc-version-1\midas-open_uk-radiation-obs_dv-202607_west-midlands_24102_coventry-coundon_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,52.424,-1.536
19187,coleshill,warwickshire\19187_coleshill\qc-version-1\midas-open_uk-radiation-obs_dv-202607_warwickshire_19187_coleshill_qcv-1_2024.csv,8738,8738,99.47632058287796,99.47632058287796,100.0,52.48,-1.691
00595,church-lawford,warwickshire\00595_church-lawford\qc-version-1\midas-open_uk-radiation-obs_dv-202607_warwickshire_00595_church-lawford_qcv-1_2024.csv,8703,8703,99.07786885245902,99.07786885245902,100.0,52.359,-1.331
00048,kinbrace-hatchery,sutherland\00048_kinbrace-hatchery\qc-version-1\midas-open_uk-radiation-obs_dv-202607_sutherland_00048_kinbrace-hatchery_qcv-1_2024.csv,8781,8781,99.96584699453553,99.96584699453553,100.0,58.23,-3.922
00044,altnaharra-no-2,sutherland\00044_altnaharra-no-2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_sutherland_00044_altnaharra-no-2_qcv-1_2024.csv,8780,8780,99.9544626593807,99.9544626593807,100.0,58.288,-4.442
30620,charlwood,surrey\30620_charlwood\qc-version-1\midas-open_uk-radiation-obs_dv-202607_surrey_30620_charlwood_qcv-1_2024.csv,8729,8729,99.37386156648452,99.37386156648452,100.0,51.144,-0.229
