name,latitude,longitude
Aberdaron Automatic Weather Station,52.79,-4.74
Abergwyngregyn Automatic Weather Station,53.24,-4.01
Aberporth Automatic Weather Station,52.14,-4.57
Aldergrove Automatic Weather Station,54.66,-6.23
Almondsbury Automatic Weather Station,51.55,-2.56
Altnaharra No 2 Automatic Weather Station,58.29,-4.44
Ardtornish Automatic Weather Station,56.53,-5.77
Auchincruive Automatic Weather Station,55.48,-4.57
Aviemore Automatic Weather Station,57.21,-3.83
Ballypatrick Forest Automatic Weather Station,55.18,-6.15
Bedford Automatic Weather Station,52.23,-0.47
Boulmer Automatic Weather Station,55.42,-1.6
Braemar No 2 Automatic Weather Station,57.01,-3.4
Bramham Automatic Weather Station,53.87,-1.32
Camborne Automatic Weather Station,50.22,-5.33
Cardinham Bodmin Automatic Weather Station,50.5,-4.67
Charlwood Automatic Weather Station,51.14,-0.23
Charterhall Automatic Weather Station,55.71,-2.38
Church Lawford Automatic Weather Station,52.36,-1.33
Cliff Farm Automatic Weather Station,56.76,-5.82
Coleshill Automatic Weather Station,52.48,-1.69
Coventry Automatic Weather Station,52.42,-1.54
Dundrennan Automatic Weather Station,54.8,-4.01
Dunstaffnage Automatic Weather Station,56.45,-5.44
Durham Automatic Weather Station,54.77,-1.59
Dyce Automatic Weather Station,57.2,-2.21
East Malling Automatic Weather Station,51.29,0.45
Edinburgh Gogarbank Automatic Weather Station,55.93,-3.34
Eskdalemuir Automatic Weather Station,55.31,-3.21
Exeter Airport No 2 Automatic Weather Station,50.74,-3.41
"Glasgow, Bishopton Automatic Weather Station",55.91,-4.53
Hawarden Airport Automatic Weather Station,53.18,-2.99
Heathrow Automatic Weather Station,51.48,-0.45
Hillsborough Automatic Weather Station,54.45,-6.07
Holbeach No 2 Automatic Weather Station,52.87,0.14
Hurn Automatic Weather Station,50.78,-1.84
Inverbervie No2 Automatic Weather Station,56.85,-2.27
Jersey Airport Automatic Weather Station,49.21,-2.19
Kenley Airfield Automatic Weather Station,51.3,-0.09
Kew Gardens Automatic Weather Station,51.48,-0.29
"Kinbrace, Hatchery Automatic Weather Station",58.23,-3.92
Kinlochewe Automatic Weather Station,57.61,-5.31
Kinloss Automatic Weather Station,57.65,-3.56
Kirkwall Automatic Weather Station,58.95,-2.9
Lake Vyrnwy No 2 Automatic Weather Station,52.76,-3.47
Leconfield Automatic Weather Station,53.87,-0.44
Leeming Automatic Weather Station,54.3,-1.53
Lerwick Automatic Weather Station,60.14,-1.18
Leuchars Automatic Weather Station,56.38,-2.86
Liscombe Automatic Weather Station,51.09,-3.61
Little Rissington Automatic Weather Station,51.86,-1.69
Loch Glascarnoch Automatic Weather Station,57.72,-4.9
Lyneham Automatic Weather Station,51.5,-1.99
Magilligan No 2 Automatic Weather Station,55.16,-6.95
Manston Automatic Weather Station,51.35,1.34
Monks Wood Automatic Weather Station,52.4,-0.24
North Wyke Automatic Weather Station,50.77,-3.9
"Nottingham, Watnall Automatic Weather Station",53.01,-1.25
Odiham Automatic Weather Station,51.24,-0.94
Prestwick Gannet Automatic Weather Station,55.52,-4.58
Ronaldsway Automatic Weather Station,54.09,-4.63
Rosehearty Automatic Weather Station,57.7,-2.12
Rostherne No 2 Automatic Weather Station,53.36,-2.38
Rothamsted Automatic Weather Station,51.81,-0.36
Shap Automatic Weather Station,54.5,-2.68
Shawbury Automatic Weather Station,52.79,-2.66
Shobdon Airfield Automatic Weather Station,52.24,-2.89
St Athan Automatic Weather Station,51.41,-3.44
Stornoway Airport Automatic Weather Station,58.21,-6.32
Strathallan Airfield Automatic Weather Station,56.33,-3.73
Sutton Bonington Automatic Weather Station,52.84,-1.25
Tain Range Automatic Weather Station,57.82,-3.97
Thomastown Automatic Weather Station,54.33,-7.59
Thorney Island Automatic Weather Station,50.81,-0.92
Threave Automatic Weather Station,54.93,-3.95
Tibenham Airfield Automatic Weather Station,52.46,1.16
Tiree Automatic Weather Station,56.5,-6.88
Tulloch Bridge Automatic Weather Station,56.87,-4.71
Valley Automatic Weather Station,53.25,-4.54
Waddington Automatic Weather Station,53.18,-0.52
Wattisham Automatic Weather Station,52.12,0.96
Winterbourne No 2 Automatic Weather Station,52.46,-1.93
Wisley Automatic Weather Station,51.31,-0.48
Wittering Automatic Weather Station,52.61,-0.47
Woburn Automatic Weather Station,52.01,-0.6
Yeovilton Automatic Weather Station,51.01,-2.64
